"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"20/04/2023","40,400","40,500","40,500","39,900","1.42M","-0.25%"
"19/04/2023","40,500","40,050","41,300","40,000","2.95M","1.38%"
"18/04/2023","39,950","40,550","40,750","39,950","2.76M","0.25%"
"17/04/2023","39,850","39,850","40,000","39,550","1.41M","-0.38%"
"14/04/2023","40,000","41,250","41,400","40,000","2.68M","-2.56%"
"13/04/2023","41,050","41,000","41,300","40,650","3.14M","0.74%"
"12/04/2023","40,750","40,500","41,700","40,500","3.97M","0.12%"
"11/04/2023","40,700","41,000","41,000","40,200","2.85M","-0.73%"
"10/04/2023","41,000","39,200","41,150","39,200","5.83M","5.13%"
"07/04/2023","39,000","38,850","39,050","38,500","2.03M","-0.26%"
"06/04/2023","39,100","40,000","40,000","39,050","1.97M","-1.64%"
"05/04/2023","39,750","39,800","39,850","39,500","1.74M","-0.13%"
"04/04/2023","39,800","39,100","39,950","39,050","3.13M","2.05%"
"03/04/2023","39,000","39,000","39,200","38,700","2.11M","1.17%"
"31/03/2023","38,550","38,550","38,950","38,250","1.82M","-0.13%"
"30/03/2023","38,600","38,800","39,200","38,150","2.67M","-0.26%"
"29/03/2023","38,700","39,250","39,350","38,700","1.83M","-1.02%"
"28/03/2023","39,100","38,200","39,300","38,100","4.20M","2.62%"
"27/03/2023","38,100","38,000","38,450","37,850","2.47M","0.40%"
"24/03/2023","37,950","37,600","38,200","37,600","1.73M","0.40%"
"23/03/2023","37,800","37,600","37,950","37,500","1.24M","-0.40%"
"22/03/2023","37,950","38,650","38,650","37,950","1.51M","-1.43%"
"21/03/2023","38,500","38,800","38,800","37,500","1.41M","1.05%"
"20/03/2023","38,100","39,000","39,400","38,050","2.30M","-3.30%"
"17/03/2023","39,400","39,900","39,900","38,850","953.80K","0.00%"
"16/03/2023","39,400","40,000","40,000","38,800","1.67M","-1.50%"
"15/03/2023","40,000","39,600","40,100","39,400","1.90M","3.63%"
"14/03/2023","38,600","39,300","39,600","38,300","1.61M","-2.03%"
"13/03/2023","39,400","39,750","40,000","39,400","1.35M","-0.88%"
"10/03/2023","39,750","39,900","40,100","39,400","1.57M","-0.63%"
"09/03/2023","40,000","39,600","40,550","39,550","2.12M","1.52%"
"08/03/2023","39,400","39,000","39,550","38,650","2.03M","-0.76%"
"07/03/2023","39,700","40,000","40,200","39,200","1.59M","0.76%"
"06/03/2023","39,400","39,950","40,500","39,400","1.47M","0.00%"
"03/03/2023","39,400","40,300","40,600","39,400","1.86M","-2.23%"
"02/03/2023","40,300","40,800","41,000","40,000","868.90K","-1.23%"
"01/03/2023","40,800","40,000","41,000","39,250","1.52M","2.00%"
"28/02/2023","40,000","40,500","41,200","39,850","1.57M","-1.23%"
"27/02/2023","40,500","41,000","41,900","40,500","1.97M","-3.80%"
"24/02/2023","42,100","42,500","42,950","41,600","1.63M","-2.09%"
"23/02/2023","43,000","42,800","43,000","42,000","1.31M","0.00%"
"22/02/2023","43,000","44,000","44,500","43,000","1.64M","-3.37%"
"21/02/2023","44,500","44,400","45,250","44,400","1.41M","0.45%"
"20/02/2023","44,300","43,200","44,300","42,750","1.87M","2.43%"
"17/02/2023","43,250","43,300","43,300","42,850","959.10K","-0.12%"
"16/02/2023","43,300","43,200","43,500","42,800","944.20K","1.29%"
"15/02/2023","42,750","42,500","43,500","42,500","1.08M","0.59%"
"14/02/2023","42,500","42,800","43,000","42,400","803.20K","0.00%"
"13/02/2023","42,500","42,100","42,500","41,500","1.73M","0.95%"
"10/02/2023","42,100","44,000","44,450","42,100","2.03M","-4.32%"
"09/02/2023","44,000","44,400","45,450","44,000","1.47M","-1.12%"
"08/02/2023","44,500","45,700","46,000","44,500","1.65M","-2.63%"
"07/02/2023","45,700","46,650","48,000","45,700","2.02M","-3.08%"
"06/02/2023","47,150","47,000","47,200","45,700","2.65M","-1.36%"
"03/02/2023","47,800","48,050","48,600","47,800","6.22M","-4.21%"
