Date,Price,Open,High,Low,Vol.,Change %
6/5/18,98700,92000.0,98700.0,91900.0,1.38M,6.93%
6/6/18,102900,101000.0,103300.0,99000.0,610.18K,4.26%
6/7/18,99600,103000.0,103000.0,97000.0,1.22M,-3.21%
6/8/18,97500,99500.0,101000.0,96000.0,886.30K,-2.11%
6/11/18,97200,96000.0,99900.0,95100.0,430.50K,-0.31%
6/12/18,92200,95600.0,96800.0,91000.0,975.27K,-5.14%
6/13/18,96600,93000.0,96600.0,93000.0,581.41K,4.77%
6/14/18,94000,97000.0,98000.0,94000.0,441.20K,-2.69%
6/15/18,95900,94000.0,95900.0,94000.0,424.79K,2.02%
6/18/18,88004,92894.0,93187.0,88004.0,804.30K,-8.23%
6/19/18,85071,86538.0,87516.0,81844.0,1.74M,-3.33%
6/20/18,89960,86049.0,89960.0,83604.0,590.05K,5.75%
6/21/18,87124,89960.0,89960.0,86538.0,423.98K,-3.15%
6/22/18,88689,85169.0,90058.0,85071.0,953.56K,1.80%
6/25/18,88982,91818.0,92405.0,88982.0,559.46K,0.33%
6/26/18,88004,86049.0,88493.0,86049.0,362.61K,-1.10%
6/27/18,88200,89862.0,90449.0,88004.0,759.50K,0.22%
6/28/18,87300,88900.0,89500.0,87000.0,423.12K,-1.02%
6/29/18,88500,87300.0,89000.0,86000.0,381.86K,1.37%
7/2/18,88400,87000.0,89300.0,84100.0,781.63K,-0.11%
7/3/18,83000,88400.0,88500.0,83000.0,550.27K,-6.11%
7/4/18,79500,84000.0,84600.0,77900.0,866.71K,-4.22%
7/5/18,74000,79500.0,80500.0,74000.0,625.24K,-6.92%
7/6/18,79100,73000.0,79100.0,70000.0,744.38K,6.89%
7/9/18,79500,79500.0,83800.0,79500.0,499.12K,0.51%
7/10/18,80000,80500.0,83000.0,80000.0,552.09K,0.63%
7/11/18,77800,78000.0,80000.0,76100.0,616.21K,-2.75%
7/12/18,79000,76500.0,79900.0,76100.0,237.01K,1.54%
7/13/18,81800,79000.0,82000.0,79000.0,416.71K,3.54%
7/16/18,81200,82000.0,82500.0,80200.0,219.39K,-0.73%
7/17/18,79000,79600.0,79800.0,78000.0,518.69K,-2.71%
7/18/18,83000,80000.0,83000.0,79500.0,696.84K,5.06%
7/19/18,84200,84000.0,85100.0,83300.0,455.83K,1.45%
7/20/18,82700,84000.0,84000.0,82100.0,545.36K,-1.78%
7/23/18,84600,84200.0,86100.0,83500.0,668.99K,2.30%
7/24/18,84800,84900.0,86000.0,82400.0,406.13K,0.24%
7/25/18,83700,85500.0,86400.0,83600.0,398.50K,-1.30%
7/26/18,83100,84100.0,84900.0,82400.0,318.08K,-0.72%
7/27/18,84800,84500.0,85500.0,83400.0,328.40K,2.05%
7/30/18,86900,85300.0,86900.0,84000.0,496.19K,2.48%
7/31/18,87800,87500.0,89400.0,86200.0,591.06K,1.04%
8/1/18,88700,87800.0,90300.0,87100.0,601.64K,1.03%
8/2/18,91000,89300.0,91500.0,88100.0,638.30K,2.59%
8/3/18,93600,91500.0,95400.0,91500.0,786.54K,2.86%
8/6/18,96100,94400.0,97000.0,93000.0,795.13K,2.67%
8/7/18,94000,96500.0,96500.0,93700.0,661.11K,-2.19%
8/8/18,98000,95100.0,98000.0,95000.0,892.22K,4.26%
8/9/18,98200,97500.0,98500.0,96100.0,573.24K,0.20%
8/10/18,98700,98200.0,98800.0,97200.0,571.92K,0.51%
8/13/18,103000,98000.0,103000.0,97400.0,552.87K,4.36%
8/14/18,99206,100970.0,101559.0,98030.0,399.06K,-3.68%
8/15/18,93128,99206.0,99990.0,93128.0,660.20K,-6.13%
8/16/18,92638,91168.0,94010.0,88227.0,926.52K,-0.53%
8/17/18,94304,95089.0,95187.0,93520.0,245.62K,1.80%
8/20/18,96265,94304.0,96363.0,93912.0,342.36K,2.08%
8/21/18,95579,95187.0,96069.0,94403.0,488.84K,-0.71%
8/22/18,98030,96559.0,98520.0,96167.0,569.58K,2.56%
8/23/18,98422,99010.0,100186.0,97147.0,332.96K,0.40%
8/24/18,99500,97834.0,100382.0,97834.0,515.53K,1.10%
8/27/18,100200,100900.0,101200.0,100000.0,451.38K,0.70%
8/28/18,102200,100900.0,102500.0,99700.0,433.22K,2.00%
8/29/18,100900,102200.0,102600.0,99800.0,370.82K,-1.27%
8/30/18,105000,101000.0,105000.0,100000.0,723.51K,4.06%
8/31/18,103000,105000.0,106200.0,103000.0,382.80K,-1.90%
9/4/18,103000,103000.0,104000.0,101700.0,433.00K,0.00%
9/5/18,100100,101500.0,103000.0,98500.0,508.07K,-2.82%
9/6/18,100200,100000.0,101500.0,99000.0,257.06K,0.10%
9/7/18,100400,99200.0,101000.0,98900.0,368.20K,0.20%
9/10/18,100800,100400.0,102300.0,100400.0,197.42K,0.40%
9/11/18,103500,100000.0,103500.0,100000.0,463.34K,2.68%
9/12/18,109000,105000.0,110600.0,104000.0,1.24M,5.31%
9/13/18,108000,109200.0,112500.0,106700.0,472.37K,-0.92%
9/14/18,108000,107100.0,109700.0,106500.0,502.51K,0.00%
9/17/18,109000,108000.0,110800.0,107200.0,687.31K,0.93%
9/18/18,109600,108000.0,109800.0,107200.0,268.03K,0.55%
9/19/18,112100,112000.0,112900.0,111000.0,545.15K,2.28%
9/20/18,116000,113000.0,116400.0,112600.0,563.35K,3.48%
9/21/18,115900,115600.0,116800.0,114300.0,461.61K,-0.09%
9/24/18,117800,115900.0,118000.0,115900.0,339.61K,1.64%
9/25/18,118000,119900.0,119900.0,118000.0,411.90K,0.17%
9/26/18,117100,118000.0,118800.0,117100.0,327.57K,-0.76%
9/27/18,117200,117800.0,117900.0,114700.0,386.39K,0.09%
9/28/18,115700,118000.0,118000.0,115700.0,286.60K,-1.28%
10/1/18,119600,115800.0,119900.0,115800.0,493.29K,3.37%
10/2/18,121500,119800.0,123500.0,119700.0,515.71K,1.59%
10/3/18,122700,120900.0,123000.0,120800.0,239.72K,0.99%
10/4/18,124000,125000.0,125000.0,123000.0,227.90K,1.06%
10/5/18,120000,121900.0,123600.0,120000.0,403.49K,-3.23%
10/8/18,116500,117500.0,118800.0,116200.0,347.70K,-2.92%
10/9/18,119300,120000.0,120000.0,117900.0,169.93K,2.40%
10/10/18,121000,120000.0,121100.0,119300.0,185.29K,1.42%
10/11/18,112600,112800.0,116800.0,112600.0,944.22K,-6.94%
10/12/18,119900,112600.0,119900.0,108000.0,607.89K,6.48%
10/15/18,115000,118000.0,120000.0,115000.0,473.42K,-4.09%
10/16/18,116800,115000.0,118400.0,114900.0,316.71K,1.57%
10/17/18,117100,119000.0,119500.0,116800.0,492.07K,0.26%
10/18/18,114500,116100.0,116500.0,114500.0,242.46K,-2.22%
10/19/18,112000,110000.0,113800.0,110000.0,654.42K,-2.18%
10/22/18,112000,113000.0,114600.0,112000.0,341.98K,0.00%
10/23/18,109400,112000.0,112000.0,106100.0,384.49K,-2.32%
10/24/18,101800,107100.0,108300.0,101800.0,798.13K,-6.95%
10/25/18,101800,97000.0,102000.0,95100.0,568.57K,0.00%
10/26/18,101800,104000.0,104300.0,101800.0,473.89K,0.00%
10/29/18,97000,101600.0,101700.0,95500.0,481.65K,-4.72%
10/30/18,99000,96600.0,99500.0,96200.0,526.49K,2.06%
10/31/18,104000,100500.0,104000.0,100000.0,516.66K,5.05%
11/1/18,101500,103000.0,103400.0,101300.0,282.45K,-2.40%
11/2/18,102700,101300.0,102900.0,99500.0,665.14K,1.18%
11/5/18,102300,101500.0,102500.0,99900.0,460.36K,-0.39%
11/6/18,101900,103700.0,104400.0,101600.0,413.03K,-0.39%
11/7/18,99800,100800.0,102000.0,99100.0,605.26K,-2.06%
11/8/18,100100,102000.0,102000.0,100100.0,229.28K,0.30%
11/9/18,95000,99600.0,99600.0,95000.0,681.56K,-5.09%
11/12/18,96600,95000.0,97400.0,93500.0,438.10K,1.68%
