Date,Price,Open,High,Low,Vol.,Change %
04/20/2023,8070,"8,200.00","8,260.00","8,030.00",8.67M,-0.98%
04/19/2023,8150,"8,000.00","8,190.00","7,910.00",16.25M,2.26%
04/18/2023,7970,"8,200.00","8,240.00","7,920.00",10.23M,-2.21%
04/17/2023,8150,"7,720.00","8,160.00","7,720.00",22.89M,5.84%
04/14/2023,7700,"7,760.00","7,990.00","7,700.00",12.09M,0.00%
04/13/2023,7700,"7,800.00","7,870.00","7,700.00",9.81M,0.00%
04/12/2023,7700,"7,900.00","7,900.00","7,680.00",10.98M,-1.53%
04/11/2023,7820,"7,590.00","7,880.00","7,590.00",17.11M,2.89%
04/10/2023,7600,"7,540.00","7,750.00","7,450.00",11.68M,2.01%
04/07/2023,7450,"7,600.00","7,650.00","7,450.00",8.45M,-1.97%
04/06/2023,7600,"7,570.00","7,900.00","7,570.00",13.36M,0.53%
04/05/2023,7560,"7,710.00","7,710.00","7,540.00",8.74M,-1.18%
04/04/2023,7650,"7,400.00","7,700.00","7,400.00",15.51M,3.52%
04/03/2023,7390,"7,390.00","7,440.00","7,360.00",6.17M,0.82%
03/31/2023,7330,"7,360.00","7,390.00","7,310.00",5.63M,-0.41%
03/30/2023,7360,"7,420.00","7,480.00","7,360.00",4.84M,-0.41%
03/29/2023,7390,"7,440.00","7,500.00","7,380.00",3.63M,-0.67%
03/28/2023,7440,"7,370.00","7,540.00","7,370.00",7.09M,1.09%
03/27/2023,7360,"7,310.00","7,400.00","7,270.00",5.27M,0.82%
03/24/2023,7300,"7,350.00","7,370.00","7,290.00",4.66M,0.55%
03/23/2023,7260,"7,300.00","7,320.00","7,250.00",5.34M,-1.09%
03/22/2023,7340,"7,400.00","7,420.00","7,340.00",3.07M,0.00%
03/21/2023,7340,"7,400.00","7,410.00","7,300.00",4.26M,0.14%
03/20/2023,7330,"7,500.00","7,540.00","7,330.00",7.72M,-3.55%
03/17/2023,7600,"7,480.00","7,600.00","7,380.00",8.13M,2.84%
03/16/2023,7390,"7,370.00","7,450.00","7,330.00",8.78M,-2.12%
03/15/2023,7550,"7,570.00","7,600.00","7,480.00",6.32M,2.30%
03/14/2023,7380,"7,520.00","7,580.00","7,350.00",8.12M,-1.47%
03/13/2023,7490,"7,500.00","7,590.00","7,480.00",8.08M,-1.96%
03/10/2023,7640,"7,710.00","7,810.00","7,630.00",6.25M,-2.18%
03/09/2023,7810,"7,630.00","7,990.00","7,610.00",12.59M,3.44%
03/08/2023,7550,"7,450.00","7,570.00","7,360.00",6.58M,1.07%
03/07/2023,7470,"7,500.00","7,540.00","7,430.00",5.59M,0.13%
03/06/2023,7460,"7,590.00","7,690.00","7,440.00",4.94M,0.13%
03/03/2023,7450,"7,630.00","7,680.00","7,450.00",5.08M,-2.23%
