"Date","Price","Open","High","Low","Vol.","Change %"
"04/20/2023","52,600","52,500","52,700","52,200","1.22M","0.00%"
"04/19/2023","52,600","52,600","52,700","52,300","1.75M","-0.38%"
"04/18/2023","52,800","52,900","52,900","52,400","1.76M","-0.19%"
"04/17/2023","52,900","52,900","53,000","52,400","1.76M","0.00%"
"04/14/2023","52,900","53,200","53,500","52,700","1.66M","-0.19%"
"04/13/2023","53,000","53,100","53,500","52,700","1.92M","-0.19%"
"04/12/2023","53,100","53,300","53,500","52,600","3.65M","-0.93%"
"04/11/2023","53,600","53,700","53,700","52,800","1.85M","-0.37%"
"04/10/2023","53,800","54,500","54,600","53,300","2.15M","-1.10%"
"04/07/2023","54,400","55,000","55,000","53,400","2.38M","-0.18%"
"04/06/2023","54,500","56,400","56,400","54,500","2.06M","-1.80%"
"04/05/2023","55,500","56,700","56,700","55,000","1.97M","-2.29%"
"04/04/2023","56,800","58,500","58,700","56,800","1.87M","-2.07%"
"04/03/2023","58,000","55,900","58,800","55,600","4.85M","5.45%"
"03/31/2023","55,000","53,600","55,200","53,600","2.62M","2.42%"
"03/30/2023","53,700","53,500","54,900","53,400","993.60K","0.37%"
"03/29/2023","53,500","53,500","53,600","52,900","585.70K","0.19%"
"03/28/2023","53,400","53,300","53,600","53,200","782.50K","0.19%"
"03/27/2023","53,300","53,300","53,800","52,800","702.00K","0.00%"
"03/24/2023","53,300","52,800","53,700","52,500","830.70K","0.95%"
"03/23/2023","52,800","52,200","52,800","52,100","2.07M","0.00%"
"03/22/2023","52,800","52,600","52,900","52,100","1.80M","0.00%"
"03/21/2023","52,800","52,800","53,400","51,600","1.77M","0.00%"
"03/20/2023","52,800","53,000","53,200","51,400","3.36M","-0.75%"
"03/17/2023","53,200","53,900","54,000","52,400","3.12M","-0.19%"
"03/16/2023","53,300","54,000","55,700","53,000","3.16M","-1.30%"
"03/15/2023","54,000","53,000","54,000","53,000","1.18M","1.89%"
"03/14/2023","53,000","53,200","53,200","52,600","1.02M","-0.56%"
"03/13/2023","53,300","53,100","53,400","52,500","996.80K","0.38%"
"03/10/2023","53,100","53,000","53,300","52,500","899.80K","0.19%"
"03/09/2023","53,000","53,000","53,600","52,600","1.04M","0.00%"
"03/08/2023","53,000","52,200","53,300","52,200","831.90K","0.57%"
"03/07/2023","52,700","53,000","53,200","52,400","1.44M","0.19%"
"03/06/2023","52,600","52,700","53,300","52,100","1.57M","-0.19%"
"03/03/2023","52,700","52,800","53,000","52,200","785.90K","-0.19%"
"03/02/2023","52,800","52,500","53,300","52,300","769.30K","0.19%"
"03/01/2023","52,700","52,000","53,300","51,600","794.70K","0.19%"
"02/28/2023","52,600","52,500","53,000","52,000","912.50K","0.19%"
"02/27/2023","52,500","52,000","52,500","51,400","1.39M","-0.76%"
"02/24/2023","52,900","52,100","52,900","51,700","2.21M","-0.19%"
"02/23/2023","53,000","52,800","53,100","51,100","2.39M","0.00%"
"02/22/2023","53,000","53,500","53,600","52,400","2.56M","-2.39%"
"02/21/2023","54,300","54,200","54,700","53,700","1.50M","0.37%"
"02/20/2023","54,100","53,300","55,000","53,000","1.52M","1.12%"
"02/17/2023","53,500","53,400","53,500","52,200","1.87M","0.19%"
"02/16/2023","53,400","53,000","53,700","51,400","3.24M","0.95%"
"02/15/2023","52,900","52,700","52,900","50,900","3.35M","0.00%"
"02/14/2023","52,900","53,100","53,100","50,800","3.12M","-0.94%"
"02/13/2023","53,400","53,100","53,600","52,500","1.41M","-1.11%"
"02/10/2023","54,000","53,500","54,300","52,600","1.70M","-0.37%"
"02/09/2023","54,200","53,500","54,500","52,400","3.01M","-0.37%"
"02/08/2023","54,400","54,600","54,600","53,000","2.15M","-1.09%"
"02/07/2023","55,000","56,000","56,000","53,600","1.65M","-1.79%"
"02/06/2023","56,000","55,300","56,000","54,300","1.42M","0.00%"
"02/03/2023","56,000","56,000","56,000","55,000","1.20M","0.36%"
"02/02/2023","55,800","55,200","56,100","55,100","1.33M","1.09%"
"02/01/2023","55,200","57,600","57,600","54,800","1.85M","-3.33%"
"01/31/2023","57,100","58,100","58,500","56,500","1.38M","-1.04%"
"01/30/2023","57,700","59,500","59,500","57,500","1.12M","-2.53%"
"01/27/2023","59,200","57,800","59,300","57,600","2.20M","3.14%"
"01/19/2023","57,400","56,300","57,400","56,000","2.34M","1.23%"
"01/18/2023","56,700","55,400","56,700","55,000","1.65M","2.72%"
"01/17/2023","55,200","53,500","55,200","53,500","1.37M","0.73%"
"01/16/2023","54,800","55,000","55,000","53,400","1.69M","-0.36%"
"01/13/2023","55,000","55,000","55,300","54,400","1.22M","0.00%"
"01/12/2023","55,000","55,500","55,500","54,500","1.07M","-0.18%"
"01/11/2023","55,100","54,500","55,500","54,100","1.09M","1.10%"
"01/10/2023","54,500","55,000","55,000","53,600","1.74M","-0.91%"
"01/09/2023","55,000","56,200","56,200","55,000","1.20M","-1.96%"
"01/06/2023","56,100","56,000","56,100","54,900","1.95M","-0.18%"
"01/05/2023","56,200","56,100","56,900","55,800","1.64M","0.36%"
"01/04/2023","56,000","56,900","57,100","55,900","1.93M","-1.41%"
"01/03/2023","56,800","53,800","56,800","53,400","2.01M","5.58%"
"12/30/2022","53,800","53,800","53,900","53,000","2.46M","0.37%"
"12/29/2022","53,600","53,200","54,000","52,500","2.14M","0.19%"
"12/28/2022","53,500","53,500","53,500","52,100","2.09M","0.19%"
"12/27/2022","53,400","52,900","54,800","52,100","1.84M","0.95%"
"12/26/2022","52,900","55,000","55,000","52,500","2.37M","-3.99%"
"12/23/2022","55,100","55,300","55,900","53,900","1.87M","0.18%"
"12/22/2022","55,000","56,000","57,000","55,000","2.43M","0.18%"
"12/21/2022","54,900","56,600","57,000","54,800","2.48M","-1.79%"
"12/20/2022","55,900","56,500","57,800","55,100","2.09M","-1.06%"
"12/19/2022","56,500","59,000","59,400","56,500","2.87M","-3.25%"
"12/16/2022","58,400","60,600","60,800","58,400","3.28M","-3.63%"
"12/15/2022","60,600","61,100","61,600","60,300","2.31M","-0.33%"
"12/14/2022","60,800","62,500","63,700","60,300","2.90M","-1.30%"
"12/13/2022","61,600","63,900","64,000","60,100","2.86M","-2.38%"
"12/12/2022","63,100","67,800","68,000","63,100","2.85M","-6.93%"
"12/09/2022","67,800","70,500","71,700","67,800","2.66M","-3.00%"
"12/08/2022","69,900","74,400","74,500","69,900","5.60M","-1.83%"
"12/07/2022","71,200","69,200","71,200","68,500","9.42M","6.91%"
"12/06/2022","66,600","68,100","68,500","65,000","1.80M","-2.20%"
"12/05/2022","68,100","68,800","70,000","68,000","2.30M","-1.02%"
"12/02/2022","68,800","65,100","68,800","65,100","3.59M","4.24%"
"12/01/2022","66,000","69,400","69,600","66,000","3.20M","-5.17%"
"11/30/2022","69,600","69,500","70,200","68,000","3.23M","0.29%"
"11/29/2022","69,400","65,000","69,400","64,200","3.56M","6.77%"
"11/28/2022","65,000","66,500","67,100","65,000","3.25M","0.00%"
"11/25/2022","65,000","63,000","65,000","62,600","2.29M","6.56%"
"11/24/2022","61,000","60,000","62,100","60,000","1.14M","2.18%"
"11/23/2022","59,700","60,100","62,600","59,700","998.80K","-2.13%"
"11/22/2022","61,000","64,000","65,900","61,000","1.47M","-4.69%"
"11/21/2022","64,000","66,000","66,700","63,600","1.20M","-2.44%"
"11/18/2022","65,600","66,900","66,900","63,100","1.69M","1.55%"
"11/17/2022","64,600","62,400","64,600","60,500","4.79M","6.95%"
"11/16/2022","60,400","56,900","60,900","56,100","2.25M","5.96%"
"11/15/2022","57,000","55,900","57,500","55,000","1.58M","3.64%"
"11/14/2022","55,000","54,200","55,500","53,100","1.39M","1.29%"
"11/11/2022","54,300","53,000","54,800","52,500","938.50K","2.45%"
"11/10/2022","53,000","53,600","54,000","52,000","1.56M","-1.30%"
"11/09/2022","53,700","53,300","54,300","52,200","1.57M","0.75%"
"11/08/2022","53,300","52,200","53,300","49,700","2.48M","-0.19%"
"11/07/2022","53,400","54,000","54,000","51,700","1.70M","-1.66%"
"11/04/2022","54,300","54,900","54,900","52,100","1.62M","-1.45%"
"11/03/2022","55,100","54,400","55,100","54,300","909.70K","-0.54%"
"11/02/2022","55,400","55,300","55,400","54,000","1.35M","0.00%"
"11/01/2022","55,400","55,700","55,800","54,000","1.42M","0.00%"
"10/31/2022","55,400","56,000","56,400","54,300","1.05M","-0.54%"
"10/28/2022","55,700","55,400","55,800","53,500","1.28M","1.27%"
"10/27/2022","55,000","54,600","55,000","52,500","1.97M","0.36%"
"10/26/2022","54,800","56,100","56,100","53,500","1.05M","-2.32%"
"10/25/2022","56,100","56,300","56,300","53,000","1.45M","-0.71%"
"10/24/2022","56,500","56,000","56,600","52,900","1.61M","-0.53%"
"10/21/2022","56,800","58,500","58,500","54,500","1.41M","-3.07%"
"10/20/2022","58,600","58,100","58,700","57,200","1.10M","0.17%"
"10/19/2022","58,500","58,500","58,700","56,500","826.40K","0.17%"
"10/18/2022","58,400","56,500","58,600","56,500","606.10K","4.29%"
"10/17/2022","56,000","58,600","59,000","56,000","738.70K","-6.20%"
"10/14/2022","59,700","60,500","60,500","58,400","779.40K","-1.16%"
"10/13/2022","60,400","58,700","61,000","58,200","1.25M","0.67%"
"10/12/2022","60,000","60,000","60,200","58,300","1.71M","0.00%"
"10/11/2022","60,000","58,300","60,100","56,700","2.19M","-0.33%"
"10/10/2022","60,200","60,200","60,900","57,700","1.24M","0.00%"
"10/07/2022","60,200","60,500","60,700","58,300","2.99M","0.17%"
"10/06/2022","60,100","59,800","62,000","58,100","1.01M","0.17%"
"10/05/2022","60,000","57,500","60,900","57,000","1.33M","5.26%"
"10/04/2022","57,000","56,000","57,000","54,600","1.30M","2.70%"
