Date,Price,Open,High,Low,Vol.,Change %
6/5/18,10676.9,10936.2,11174.0,10590.4,21.18M,0.41%
6/6/18,10687.7,10676.9,10784.9,10482.4,9.46M,0.10%
6/7/18,10698.5,10720.1,10720.1,10471.6,9.71M,0.10%
6/8/18,11195.6,10590.4,11195.6,10590.4,18.90M,4.65%
6/11/18,11498.2,11217.2,11779.1,11130.8,13.60M,2.70%
6/12/18,11346.9,11455.0,11455.0,10763.3,20.64M,-1.32%
6/13/18,11325.3,11152.4,11498.2,11152.4,11.43M,-0.19%
6/14/18,10806.6,11282.0,11303.7,10806.6,11.78M,-4.58%
6/15/18,10698.5,10806.6,10936.2,10655.3,17.02M,-1.00%
6/18/18,11222.3,11963.1,12000.1,11074.2,8.65M,4.90%
6/19/18,10777.9,10740.9,10777.9,10444.6,9.08M,-3.96%
6/20/18,11518.6,11111.2,11518.6,10852.0,15.14M,6.87%
6/21/18,11481.6,11629.8,11870.5,11444.6,7.42M,-0.32%
6/22/18,12185.3,11370.5,12185.3,11333.5,11.48M,6.13%
6/25/18,12055.7,12222.4,12481.6,11981.6,13.66M,-1.06%
6/26/18,11852,11852.0,12055.7,11703.8,7.25M,-1.69%
6/27/18,11333.5,11852.0,12000.1,11259.4,10.34M,-4.37%
6/28/18,10926.1,11000.1,11352.0,10814.9,14.51M,-3.59%
6/29/18,10629.8,10926.1,11111.2,10592.7,10.44M,-2.71%
7/2/18,10259.4,10370.5,10592.7,10000.1,10.73M,-3.48%
7/3/18,9555.7,10259.4,10481.6,9555.7,9.14M,-6.86%
7/4/18,9777.9,9555.7,9777.9,9185.3,5.62M,2.33%
7/5/18,9333.4,9777.9,9926.0,9203.8,5.36M,-4.55%
7/6/18,9981.6,9333.4,9981.6,9074.2,10.77M,6.94%
7/9/18,10037.2,10185.3,10407.5,10000.1,5.70M,0.56%
7/10/18,10296.4,10185.3,10426.0,10074.2,6.07M,2.58%
7/11/18,9592.7,10000.1,10037.2,9592.7,14.40M,-6.83%
7/12/18,9759.4,9592.7,10037.2,9444.6,5.52M,1.74%
7/13/18,10148.3,9889.0,10185.3,9889.0,6.91M,3.98%
7/16/18,10222.3,10185.3,10352.0,10055.7,6.59M,0.73%
7/17/18,10907.5,10222.3,10926.1,10129.7,23.55M,6.70%
7/18/18,11129.8,10981.6,11296.4,10981.6,16.46M,2.04%
7/19/18,11000.1,11129.8,11259.4,11000.1,14.64M,-1.17%
7/20/18,10926.1,10889.0,11000.1,10296.4,34.71M,-0.67%
7/23/18,10185.3,10592.7,10703.8,10185.3,22.82M,-6.78%
7/24/18,9926,10148.3,10259.4,9777.9,9.94M,-2.55%
7/25/18,9740.9,10000.1,10166.8,9740.9,8.70M,-1.86%
7/26/18,9703.8,9889.0,9889.0,9555.7,7.12M,-0.38%
7/27/18,9777.9,9703.8,9926.0,9333.4,17.33M,0.76%
7/30/18,10111.2,10000.1,10277.9,9963.1,10.14M,3.41%
7/31/18,10037.2,10055.7,10203.8,9963.1,10.16M,-0.73%
8/1/18,9926,10000.1,10129.7,9814.9,10.61M,-1.11%
8/2/18,9833.4,9777.9,9889.0,9555.7,12.06M,-0.93%
8/3/18,9852,10000.1,10000.1,9852.0,8.17M,0.19%
8/6/18,9685.3,9852.0,9889.0,9648.3,7.25M,-1.69%
8/7/18,9685.3,9648.3,9870.5,9611.2,7.49M,0.00%
8/8/18,9852,9759.4,9852.0,9703.8,9.61M,1.72%
8/9/18,9963.1,9963.1,10166.8,9926.0,19.75M,1.13%
8/10/18,9926,9963.1,9981.6,9777.9,6.56M,-0.37%
8/13/18,10055.7,9889.0,10148.3,9814.9,21.26M,1.31%
8/14/18,10074.2,10185.3,10314.9,10074.2,26.07M,0.18%
8/15/18,9814.9,10129.7,10185.3,9814.9,15.22M,-2.57%
8/16/18,9814.9,9740.9,9852.0,9629.7,11.99M,0.00%
8/17/18,9629.7,9889.0,9926.0,9629.7,10.82M,-1.89%
8/20/18,9222.3,9611.2,9703.8,9129.7,28.19M,-4.23%
8/21/18,9444.6,9222.3,9463.1,9185.3,10.39M,2.41%
8/22/18,9444.6,9518.6,9592.7,9426.0,8.07M,0.00%
8/23/18,9407.5,9444.6,9463.1,9314.9,8.15M,-0.39%
8/24/18,9277.9,9352.0,9407.5,9259.4,10.09M,-1.38%
8/27/18,9370.5,9296.4,9444.6,9259.4,11.05M,1.00%
8/28/18,9426,9444.6,9537.1,9389.0,10.16M,0.59%
8/29/18,9352,9426.0,9444.6,9333.4,6.60M,-0.79%
8/30/18,9444.6,9352.0,9444.6,9296.4,8.09M,0.99%
8/31/18,9592.7,9444.6,9777.9,9444.6,25.36M,1.57%
9/4/18,9518.6,9592.7,9814.9,9518.6,12.68M,-0.77%
9/5/18,9389,9518.6,9574.2,9296.4,8.20M,-1.36%
9/6/18,9111.2,9370.5,9444.6,9074.2,17.56M,-2.96%
9/7/18,9259.4,9074.2,9259.4,9037.1,10.35M,1.63%
9/10/18,9037.1,9259.4,9259.4,9037.1,8.68M,-2.40%
9/11/18,9148.3,9055.7,9185.3,9018.6,5.69M,1.23%
9/12/18,9074.2,9185.3,9277.9,9074.2,7.51M,-0.81%
9/13/18,9000.1,9074.2,9148.3,8981.6,8.07M,-0.82%
9/14/18,9018.6,9074.2,9148.3,9000.1,7.73M,0.21%
9/17/18,9037.1,9037.1,9222.3,9000.1,7.67M,0.21%
9/18/18,9055.7,9055.7,9074.2,8944.5,7.14M,0.21%
9/19/18,9240.8,9111.2,9407.5,9037.1,20.48M,2.04%
9/20/18,9555.7,9296.4,9555.7,9296.4,15.43M,3.41%
9/21/18,9740.9,9629.7,9796.4,9555.7,26.38M,1.94%
9/24/18,9611.2,9777.9,9796.4,9592.7,13.01M,-1.33%
9/25/18,9592.7,9592.7,9703.8,9518.6,11.61M,-0.19%
9/26/18,9629.7,9592.7,9777.9,9592.7,11.03M,0.39%
9/27/18,9722.3,9648.3,9814.9,9648.3,8.71M,0.96%
9/28/18,9926,9907.5,10055.7,9907.5,21.88M,2.10%
10/1/18,9777.9,9981.6,9981.6,9740.9,13.37M,-1.49%
10/2/18,9703.8,9777.9,9852.0,9685.3,9.35M,-0.76%
10/3/18,9666.8,9703.8,9796.4,9592.7,9.34M,-0.38%
10/4/18,9759.4,9703.8,9814.9,9666.8,11.23M,0.96%
10/5/18,9537.1,9777.9,9833.4,9537.1,15.02M,-2.28%
10/8/18,9370.5,9500.1,9537.1,9370.5,12.20M,-1.75%
10/9/18,9333.4,9370.5,9444.6,9296.4,8.67M,-0.40%
10/10/18,9259.4,9370.5,9389.0,9166.8,11.15M,-0.79%
10/11/18,8611.2,8740.8,8926.0,8611.2,31.92M,-7.00%
10/12/18,8981.6,8685.3,9000.1,8611.2,22.89M,4.30%
10/15/18,8777.9,9000.1,9000.1,8740.8,7.02M,-2.27%
10/16/18,8852,8777.9,8852.0,8722.3,7.50M,0.84%
10/17/18,8889,8981.6,8981.6,8814.9,11.00M,0.42%
10/18/18,8814.9,8852.0,8870.5,8740.8,5.26M,-0.83%
10/19/18,8852,8703.8,8852.0,8574.2,8.85M,0.42%
10/22/18,8611.2,8870.5,8981.6,8611.2,7.21M,-2.72%
10/23/18,8444.5,8555.7,8555.7,8018.6,19.79M,-1.94%
10/24/18,8203.8,8333.4,8444.5,8185.3,7.99M,-2.85%
10/25/18,8000.1,7740.8,8000.1,7629.7,15.43M,-2.48%
10/26/18,7796.4,8000.1,8092.7,7685.3,9.58M,-2.55%
10/29/18,7555.6,7796.4,7796.4,7407.5,14.52M,-3.09%
10/30/18,7537.1,7444.5,7592.7,7444.5,9.59M,-0.24%
10/31/18,7926,7685.3,7926.0,7648.2,7.93M,5.16%
11/1/18,7592.7,7926.0,7963.1,7574.2,7.64M,-4.21%
11/2/18,7777.9,7759.3,7907.5,7666.8,6.96M,2.44%
11/5/18,7851.9,7703.8,7870.5,7629.7,5.68M,0.95%
11/6/18,7759.3,7870.5,7889.0,7740.8,4.40M,-1.18%
11/7/18,7648.2,7796.4,7814.9,7592.7,7.37M,-1.43%
11/8/18,7666.8,7777.9,7814.9,7666.8,6.17M,0.24%
11/9/18,7537.1,7648.2,7796.4,7537.1,5.97M,-1.69%
11/12/18,7574.2,7518.6,7592.7,7389.0,15.77M,0.49%
11/13/18,7481.6,7481.6,7500.1,7407.5,8.68M,-1.22%
11/14/18,7351.9,7463.0,7500.1,7259.3,10.52M,-1.73%
11/15/18,7037.1,7314.9,7370.5,6981.6,8.83M,-4.28%
11/16/18,7518.6,7074.2,7518.6,7074.2,14.38M,6.84%
11/19/18,8037.1,8037.1,8037.1,7777.9,18.10M,6.90%
11/20/18,8074.2,7963.1,8222.3,7944.5,12.69M,0.46%
11/21/18,8074.2,7889.0,8111.2,7814.9,9.26M,0.00%
11/22/18,8314.9,8148.2,8389.0,8000.1,13.51M,2.98%
11/23/18,8129.7,8222.3,8314.9,8092.7,4.79M,-2.23%
11/26/18,8000.1,8037.1,8037.1,7926.0,4.74M,-1.59%
11/27/18,7777.9,8000.1,8055.6,7703.8,7.93M,-2.78%
11/28/18,7777.9,7777.9,7777.9,7611.2,6.63M,0.00%
11/29/18,7703.8,7870.5,7963.1,7703.8,4.39M,-0.95%
11/30/18,7703.8,7666.8,7777.9,7611.2,3.61M,0.00%
12/3/18,8166.8,7851.9,8166.8,7851.9,10.48M,6.01%
12/4/18,8296.4,8166.8,8370.5,8092.7,14.39M,1.59%
12/5/18,8333.4,8148.2,8333.4,8111.2,11.96M,0.45%
12/6/18,8296.4,8259.4,8296.4,8129.7,9.00M,-0.44%
12/7/18,8407.5,8296.4,8518.6,8296.4,11.54M,1.34%
12/10/18,8389,8370.5,8426.0,8277.9,9.86M,-0.22%
12/11/18,8333.4,8370.5,8407.5,8185.3,9.92M,-0.66%
12/12/18,8296.4,8333.4,8333.4,8222.3,13.00M,-0.44%
12/13/18,8314.9,8351.9,8407.5,8296.4,9.28M,0.22%
12/14/18,8074.2,8314.9,8314.9,8074.2,9.80M,-2.89%
12/17/18,7777.9,8037.1,8037.1,7703.8,11.86M,-3.67%
12/18/18,7666.8,7592.7,7777.9,7481.6,12.65M,-1.43%
12/19/18,7666.8,7666.8,7740.8,7481.6,7.52M,0.00%
12/20/18,7518.6,7574.2,7685.3,7518.6,6.73M,-1.93%
12/21/18,7666.8,7444.5,7666.8,7426.0,8.91M,1.97%
12/24/18,7537.1,7666.8,7740.8,7537.1,2.05M,-1.69%
12/25/18,7259.3,7407.5,7407.5,7148.2,5.98M,-3.69%
12/26/18,7222.3,7333.4,7389.0,7222.3,2.95M,-0.51%
12/27/18,7351.9,7555.6,7555.6,7296.4,3.33M,1.79%
12/28/18,7389,7407.5,7407.5,7259.3,3.22M,0.50%
1/2/19,7185.3,7389.0,7389.0,7185.3,2.80M,-2.76%
1/3/19,7037.1,7185.3,7259.3,6926.0,8.15M,-2.06%
1/4/19,7018.6,7000.1,7092.7,6796.4,5.21M,-0.26%
1/7/19,7129.7,7148.2,7259.3,7092.7,4.44M,1.58%
1/8/19,7092.7,7092.7,7148.2,7018.6,2.25M,-0.52%
1/9/19,7092.7,7111.2,7240.8,7092.7,5.47M,0.00%
1/10/19,7111.2,7111.2,7203.8,7092.7,2.67M,0.26%
1/11/19,7074.2,7148.2,7185.3,7055.6,3.13M,-0.52%
